192.168.56.1 - - [02/Jul/2026:14:50:39 +0000] "GET / HTTP/1.1" 200 10982 "-" "Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.8737"
192.168.56.1 - - [02/Jul/2026:14:53:30 +0000] "GET / HTTP/1.0" 200 10945 "-" "-"
192.168.56.1 - - [02/Jul/2026:14:53:32 +0000] "PROPFIND / HTTP/1.1" 405 523 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:32 +0000] "OPTIONS / HTTP/1.1" 200 181 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:32 +0000] "GET /.git/HEAD HTTP/1.1" 404 455 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:32 +0000] "OPTIONS / HTTP/1.1" 200 181 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:32 +0000] "GET /nmaplowercheck1783004013 HTTP/1.1" 404 455 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:32 +0000] "GET /robots.txt HTTP/1.1" 404 455 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:32 +0000] "OPTIONS / HTTP/1.1" 200 181 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:32 +0000] "PROPFIND / HTTP/1.1" 405 523 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:32 +0000] "POST /sdk HTTP/1.1" 404 455 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:32 +0000] "GET / HTTP/1.0" 200 10945 "-" "-"
192.168.56.1 - - [02/Jul/2026:14:53:32 +0000] "POST / HTTP/1.1" 200 10945 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:32 +0000] "GET / HTTP/1.1" 200 10945 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:32 +0000] "OPTIONS / HTTP/1.1" 200 181 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:32 +0000] "GET /HNAP1 HTTP/1.1" 404 455 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:32 +0000] "PROPFIND / HTTP/1.1" 405 523 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:32 +0000] "MQLF / HTTP/1.1" 501 498 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:32 +0000] "GET /evox/about HTTP/1.1" 404 455 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:32 +0000] "GET / HTTP/1.1" 200 10945 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:32 +0000] "OPTIONS / HTTP/1.1" 200 181 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:32 +0000] "GET /favicon.ico HTTP/1.1" 404 455 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:32 +0000] "OPTIONS / HTTP/1.1" 200 181 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:32 +0000] "OPTIONS / HTTP/1.1" 200 181 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:33 +0000] "OPTIONS / HTTP/1.1" 200 181 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:33 +0000] "OPTIONS / HTTP/1.1" 200 181 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:33 +0000] "OPTIONS / HTTP/1.1" 200 181 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:33 +0000] "OPTIONS / HTTP/1.1" 200 181 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.56.1 - - [02/Jul/2026:14:53:37 +0000] "GET / HTTP/1.0" 200 10945 "-" "-"
192.168.56.1 - - [02/Jul/2026:14:53:37 +0000] "GET / HTTP/1.1" 200 10926 "-" "-"
192.168.1.4 - - [02/Jul/2026:16:05:21 +0000] "GET / HTTP/1.1" 200 10926 "-" "curl/7.81.0"
192.168.1.4 - - [02/Jul/2026:16:07:15 +0000] "GET / HTTP/1.1" 200 10926 "-" "curl/7.81.0"
192.168.1.4 - - [02/Jul/2026:16:11:51 +0000] "GET / HTTP/1.0" 200 10945 "-" "-"
192.168.1.4 - - [02/Jul/2026:16:11:51 +0000] "GET / HTTP/1.0" 200 10945 "-" "-"
192.168.1.4 - - [02/Jul/2026:16:11:51 +0000] "POST /sdk HTTP/1.1" 404 454 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
192.168.1.4 - - [02/Jul/2026:16:11:51 +0000] "GET /evox/about HTTP/1.1" 404 454 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
